occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
  Leisure and travel service occupations n.e.c.,6219,10.6,10.15,11.61,19396,,,,6
  Hairdressers and barbers,6221,7.97,8.97,7.84,16345,15246,4,20,6
  Beauticians and related occupations,6222,8.66,9.35,8.6,23000,16378,,13,6
  Housekeepers and related occupations,6231,8.72,8.56,8.83,16421,17993,,14,6
  Caretakers,6232,10.43,10.43,10.09,20815,21049,39,5,6
  Cleaning and housekeeping managers and supervisors,6240,9.48,9.8,9.4,19943,18852,9,18,6
  Sales and retail assistants,7111,8.82,9.14,8.63,19469,16338,205,183,7
  Retail cashiers and check-out operators,7112,8.65,8.7,8.59,16760,15875,12,15,7
  Telephone salespersons,7113,9.84,9.57,9.9,21581,20452,9,6,7
  Pharmacy and other dispensing assistants,7114,8.49,8.67,8.48,16995,16237,,16,7
  Vehicle and parts salespersons and advisers,7115,10.34,10.35,9.23,24755,19615,13,,7
  Collector salespersons and credit agents,7121,9.31,9.72,8.03,18362,,,,7
"  Debt, rent and other cash collectors",7122,9.53,9.45,9.6,18717,18627,9,5,7
  Merchandisers and window dressers,7125,11.09,11.85,10.98,22975,20443,4,7,7
  Sales related occupations n.e.c.,7129,10.43,10.42,10.43,,22680,10,7,7
  Sales supervisors,7130,10.27,11.02,9.74,23687,19689,41,34,7
  Call and contact centre occupations,7211,9.61,9.11,9.94,18145,18990,16,17,7
  Telephonists,7213,9.26,8.75,9.37,20206,20260,,,7
  Communication operators,7214,14.01,13.62,14.15,28289,26615,6,6,7
  Market research interviewers,7215,10.2,11.7,9.32,20825,,,,7
  Customer service occupations n.e.c.,7219,10.54,10.53,10.57,21164,20413,113,132,7
  Customer service managers and supervisors,7220,14.56,15.44,13.91,32088,27352,38,43,7
"  Food, drink and tobacco process operatives",8111,9.17,9.48,8.46,21130,17373,92,32,8
  Glass and ceramics process operatives,8112,10.07,10.11,7.91,21728,,,,8
  Textile process operatives,8113,9.94,10.32,8.5,25184,,7,,8
  Chemical and related process operatives,8114,13.33,13.6,8.48,30714,17111,21,,8
  Plastics process operatives,8116,10.07,10.13,9.03,21191,,12,,8
  Process operatives n.e.c.,8119,9.57,9.78,8.09,25558,17172,8,,8
  Paper and wood machine operatives,8121,9.69,9.79,8.63,22065,,15,,8
  Energy plant operatives,8124,15.32,15.55,7.93,30592,,,,8
  Metal working machine operatives,8125,10.19,10.6,8.87,23645,18559,16,,8
  Water and sewerage plant operatives,8126,13.21,13.27,10.4,30030,,11,,8
  Printing machine assistants,8127,10.43,11.05,9.04,23698,18906,14,4,8
  Assemblers (electrical and electronic products),8131,10.25,10.58,8.91,23292,18226,9,,8
  Assemblers (vehicles and metal goods),8132,15.96,16.42,9.57,34965,,45,,8
  Routine inspectors and testers,8133,12.21,12.76,10.69,27763,21010,36,14,8
"  Weighers, graders and sorters",8134,9.65,9.98,8.34,24667,21160,,,8
  Sewing machinists,8137,8.6,8.92,8.5,19635,16857,,12,8
  Assemblers and routine operatives n.e.c.,8139,9.72,10.26,8.88,22218,17916,84,28,8
  Construction operatives n.e.c.,8149,11.18,11.3,9.17,25264,17961,82,,8
  Large goods vehicle drivers,8211,11.53,11.53,10.68,29773,24330,201,,8
  Van drivers,8212,9.58,9.62,8.59,22380,17389,234,8,8
  Bus and coach drivers,8213,11.64,11.66,10.9,26490,23651,100,5,8
  Fork-lift truck drivers,8222,9.92,9.91,10.12,22245,19209,27,,8
  Mobile machine drivers and operatives n.e.c.,8229,11.7,11.82,8.23,28927,,39,,8
  Train and tram drivers,8231,28.33,28.33,27.79,53502,50870,24,,8
  Farm workers,9111,8.87,8.9,7.97,21954,16543,23,,9
  Fishing and other elementary agriculture occupations n.e.c.,9119,8.8,9,8.03,19652,,9,,9
  Elementary construction occupations,9120,10,10,8.4,22065,19142,73,,9
  Industrial cleaning process occupations,9132,8.73,8.75,8.61,19296,19744,9,,9
"  Packers, bottlers, canners and fillers",9134,8.83,9.28,8.37,20467,17639,43,32,9
  Elementary process plant occupations n.e.c.,9139,9.44,9.72,8.43,21693,17595,97,22,9
"  Postal workers, mail sorters, messengers and couriers",9211,12.25,12.26,11.94,26165,24755,103,17,9
  Elementary administration occupations n.e.c.,9219,8.44,8.62,8.22,,15611,13,8,9
  Cleaners and domestics,9233,8.38,8.75,8.15,18129,15526,51,71,9
"  Launderers, dry cleaners and pressers",9234,7.98,7.98,7.96,15903,,,7,9
  Refuse and salvage occupations,9235,9.55,9.62,9.01,20078,17133,18,,9
  Vehicle valeters and cleaners,9236,8,7.99,8.56,17424,,10,,9
  Security guards and related occupations,9241,9.75,9.51,12.1,23188,24996,81,10,9
  Parking and civil enforcement occupations,9242,10.14,9.88,10.6,20197,21543,8,,9
  Elementary security occupations n.e.c.,9249,10.57,10.51,10.88,22565,21842,4,,9
